P241	Q705738	Q9212
P451	Q37175	Q232927
P1303	Q314290	Q17172850
P2643	Q1048898	Q23623483
P21	Q313092	Q6581097
P264	Q912938	Q657558
P106	Q499097	Q10800557
P264	Q218091	Q645889
P31	Q2140778	Q3918
P106	Q1339951	Q10800557
P106	Q3090795	Q4853732
P106	Q80760	Q3282637
P119	Q186335	Q216344
P161	Q651722	Q542190
P166	Q515632	Q6761828
P166	Q599439	Q12201477
P31	Q296577	Q5
P31	Q634396	Q23002039
P425	Q3246315	Q349
P1343	Q24829	Q17378135
P31	Q277895	Q5
P1830	Q168751	Q2907160
P21	Q335629	Q6581097
P106	Q313243	Q10800557
P170	Q1168760	Q269835
P106	Q25973	Q4964182
P106	Q313107	Q3455803
P31	Q492321	Q5
P106	Q2544573	Q10800557
P1343	Q76	Q17329836
P31	Q1401524	Q15936437
P1344	Q47762	Q46934
P106	Q935167	Q10800557
P106	Q131149	Q4964182
P161	Q212156	Q1257075
P2293_P459_P459	Q128581	Q18047281	Q1098876	Q23190853
P2293_P459_P459	Q12174	Q18048105	Q1098876	Q23190853
P161	Q19570	Q922952
P106	Q258750	Q639669
P106	Q5879	Q40348
P161	Q53922	Q315340
P1411_P1686	Q485557	Q1414482	Q1033304
P2293_P459_P459	Q11081	Q18041288	Q1098876	Q23190853
P106	Q32522	Q2259451
P69	Q2849121	Q1474019
P1411	Q223367	Q947811
P161	Q1002100	Q23537577
P166_P1686	Q311253	Q943908	Q7729475
P106	Q232052	Q36180
P161	Q390120	Q232098
P166	Q37175	Q1150306
P5008	Q7802	Q5460604
P1303	Q202859	Q17172850
P264	Q465977	Q843402
P2643	Q1474129	Q23623479
P31	Q316596	Q5
P2643	Q995265	Q23336065
P106	Q670417	Q3282637
P166	Q502314	Q123737
P106	Q310343	Q2526255
P2293_P459_P459	Q128581	Q18051831	Q1098876	Q23190853
P21	Q37160	Q6581097
P2643	Q1848657	Q23662765
P106	Q154770	Q14915627
P264	Q858388	Q726251
P31	Q11224	Q11211
P106	Q19673	Q1930187
P166_P1686	Q210059	Q1043985	Q1168659
P1346_P1686	Q1056251	Q220883	Q3367176
P21	Q472504	Q6581097
P1344	Q83459	Q131591
P463	Q168515	Q5059850
P161	Q199853	Q360046
P106	Q230448	Q33999
P1303	Q215546	Q6607
P106	Q192165	Q10800557
P451	Q392	Q131725
P21	Q514527	Q6581097
P106	Q4960	Q28389
P264	Q180861	Q330629
P2643	Q666128	Q23334993
P31	Q192936	Q5
P106	Q240523	Q131524
P106	Q232990	Q10798782
P161	Q32450	Q16730869
P166	Q23301	Q3870549
P31	Q193212	Q5
P69	Q446427	Q559549
P161	Q223977	Q7931752
P3095	Q11635	Q1776724
P2293_P459_P459	Q131755	Q18036469	Q1098876	Q23190853
P1303	Q218091	Q6607
P31	Q79904	Q5
P2643	Q2341039	Q23662765
P31	Q229379	Q5
P1346_P1686	Q2414252	Q103946	Q56194
P264	Q181683	Q216364
P1344	Q15142	Q3944788
P166_P1346_P1346	Q107130	Q2603393	Q377903	Q732416
P106	Q184226	Q1622272
P2643	Q734774	Q23622831
P106	Q40874	Q18814623
P26	Q343633	Q95050
P106	Q294912	Q18814623
P31	Q3798668	Q268592
P412	Q180338	Q27911
P641	Q1026679	Q41323
P106	Q47899	Q10800557
P1411	Q2085	Q7243511
P21	Q979990	Q6581097
P1303	Q1339	Q81982
P101	Q1325	Q5891
P2936	Q3206	Q3913817
P106	Q527853	Q15981151
P21	Q320052	Q6581097
P641	Q310116	Q11419
P166	Q191064	Q1780561
P106	Q43994	Q578109
P2936	Q1164	Q12952337
P463	Q503419	Q128471
P641	Q308840	Q11419
P1346_P1686	Q610903	Q151720	Q27903111
P1411_P1686	Q234679	Q5412594	Q1500112
P1340	Q154519	Q17122834
P22	Q238912	Q1382872
P106	Q540787	Q20870256
P1343	Q181003	Q2657718
P106	Q240933	Q10800557
P31	Q310944	Q5
P1830	Q3884	Q4555537
P21	Q342533	Q6581097
P106	Q131805	Q15627169
P31	Q208414	Q12136
P166	Q156193	Q754841
P725	Q34397	Q23547
P31	Q1472	Q42303753
P2293_P459_P459	Q12174	Q18044275	Q1098876	Q23190853
P166	Q80309	Q30132541
P31	Q512986	Q5
P1346_P1686	Q4220900	Q80938	Q223887
P106	Q348533	Q28389
P710	Q33143	Q33296
P106	Q302762	Q36834
P2293_P459_P459	Q12174	Q18037755	Q1098876	Q23190853
P3729	Q672392	Q932650
P69	Q3182524	Q7060402
P166	Q178698	Q698647
P166	Q40787	Q1331130
P161	Q244803	Q7177686
P69	Q7199	Q273553
P161	Q117396	Q535998
P161	Q189267	Q15729040
P161	Q189267	Q2914539
P166	Q465830	Q932650
P31	Q927916	Q5
P2643	Q238101	Q23662768
P106	Q200534	Q2259451
P31	Q218091	Q5
P2936	Q1445	Q56487
P1303	Q12006	Q17172850
P1411	Q633	Q6314103
P1303	Q505898	Q6607
P31	Q216748	Q5
P2293_P459_P459	Q12202	Q18048631	Q1098876	Q23190853
P106	Q448235	Q15981151
P161	Q1306890	Q148732
P69	Q314215	Q75478
P2643	Q1476484	Q23623483
P119	Q31225	Q6923684
P31	Q429863	Q23002039
P2643	Q1179603	Q23334993
P1346_P1686	Q2529789	Q233739	Q152178
P26	Q228650	Q313522
P1346_P1686	Q549884	Q504805	Q27882101
P21	Q376131	Q6581097
P166	Q3050241	Q1111310
P161	Q117396	Q3386144
P21	Q310413	Q6581097
P1340	Q232495	Q17122705
P1411_P1686	Q104067	Q530923	Q23614
P69	Q1339527	Q5676553
P106	Q76711	Q10800557
P1376	Q200942	Q894093
P69	Q779151	Q966540
P166	Q153018	Q306590
P463	Q484523	Q40585
P463	Q12006	Q544121
P161	Q4529	Q215488
P106	Q708506	Q36834
P161	Q189267	Q242623
P1343	Q163759	Q2657718
P463	Q1334295	Q458620
P166	Q125106	Q10855271
P31	Q1345971	Q6881511
P31	Q228871	Q5
P106	Q230169	Q10800557
P161	Q23558	Q2558129
P31	Q1030713	Q5398426
P31	Q1132346	Q23002039
P106	Q240933	Q947873
P106	Q436712	Q28389
P21	Q55407	Q6581097
P161	Q19570	Q267400
P31	Q179631	Q5
P21	Q2713545	Q6581097
P166	Q80739	Q640353
P106	Q157256	Q486748
P106	Q297079	Q11774202
P106	Q34836	Q372436
P463	Q49212	Q647039
P166	Q217787	Q326482
P2643	Q1805145	Q23662428
P1303	Q207852	Q17172850
P355	Q13371	Q49127
P161	Q117396	Q2101495
P1411_P1686	Q105221	Q1238714	Q646269
P161	Q4529	Q1079204
P463	Q1140542	Q5275906
P1303	Q295153	Q17172850
P31	Q449679	Q5
P106	Q944638	Q10800557
P161	Q186219	Q589827
P31	Q1370207	Q123705
P106	Q114179	Q2259451
P106	Q253384	Q10798782
P2293_P459_P459	Q8277	Q14906072	Q1098876	Q23190853
P106	Q186335	Q12144794
P106	Q1151457	Q3387717
P106	Q292943	Q4610556
P2643	Q863813	Q23623483
P21	Q76409	Q6581097
P166	Q150851	Q950604
P31	Q173496	Q4830453
P264	Q311672	Q202440
P2643	Q1797448	Q23623479
P161	Q438406	Q453581
P69	Q464932	Q1414326
P106	Q193212	Q3282637
P106	Q359665	Q28389
P106	Q228747	Q245068
P31	Q93157	Q5
P361	Q3183	Q3206
P101	Q298777	Q941594
P1303	Q230484	Q5994
P131	Q895457	Q895459
P1346_P1686	Q266012	Q47087	Q786025
P106	Q193300	Q39631
P463	Q585828	Q7820700
P106	Q234695	Q947873
P279	Q5371902	Q1075651
P106	Q192052	Q3282637
P279	Q1099153	Q52954
P2293_P459_P459	Q165328	Q18041856	Q1098876	Q23190853
P106	Q103157	Q3282637
P106	Q40124	Q10800557
P106	Q713099	Q28389
P166	Q133112	Q94162
P161	Q56194	Q15665021
P31	Q189290	Q28640
P1303	Q465636	Q51290
P31	Q504775	Q12136
P106	Q707446	Q18814623
P106	Q272977	Q19204627
P161	Q19570	Q266231
P1066	Q7199	Q42156
P166	Q216608	Q577755
P1346_P1686	Q847054	Q155079	Q2724281
P106	Q721922	Q3282637
P1346_P1686	Q530923	Q718078	Q8539
P161	Q147235	Q158250
P179	Q1542342	Q41254
P106	Q1333848	Q18844224
P161	Q117396	Q1066917
P31	Q6183524	Q5
P161	Q4529	Q2960889
P166	Q40787	Q22058319
P106	Q233466	Q10800557
P106	Q2604225	Q33999
P2643	Q1140775	Q23662432
P106	Q215546	Q36834
P31	Q137042	Q5
P750	Q1467607	Q1156642
P21	Q419466	Q6581097
P106	Q294927	Q488205
P161	Q19570	Q442019
P1435	Q1782948	Q19558910
P106	Q178698	Q482980
P1346_P1686	Q1056265	Q550614	Q7432921
P412	Q133112	Q37137
P21	Q470818	Q6581097
P106	Q369424	Q10798782
P161_P453	Q2085	Q270672	Q6273142
P161	Q23609	Q983229
P31	Q31687	Q192581
P4952	Q37525	Q51139288
P106	Q1378118	Q10800557
P106	Q572004	Q36180
P2643	Q620640	Q23662433
P161	Q1146194	Q311752
P1811	Q23558	Q827057
P166	Q208408	Q566905
P106	Q912938	Q10798782
P106	Q347023	Q36834
P31	Q75622	Q5
P106	Q2960052	Q3282637
P106	Q165557	Q189290
P166	Q234030	Q958630
P1346_P1686	Q165313	Q166272	Q160060
P2293_P459_P459	Q212961	Q18029785	Q1098876	Q23190853
P161	Q53922	Q785270
P1884	Q23559	Q17244894
P106	Q101797	Q3282637
P264	Q49569	Q1062659
P166	Q332032	Q179191
P31	Q3113385	Q618779
P31	Q74032	Q5
P2643	Q1804942	Q23336065
P106	Q310170	Q36834
P31	Q312751	Q5
P106	Q298799	Q10798782
P2094	Q239520	Q35554451
P725	Q8822	Q373594
P1346_P1686	Q945887	Q299483	Q53922
P161	Q301345	Q262524
P106	Q491252	Q1075651
P106	Q34086	Q486748
P31	Q207521	Q48349
P106	Q311976	Q2259451
P106	Q356129	Q10798782
P31	Q2548090	Q5
P31	Q1161109	Q223703
P1344	Q207337	Q159181
P106	Q457229	Q2259451
P161	Q679657	Q267422
P106	Q298761	Q214917
P1303	Q712860	Q17172850
P641	Q178848	Q41323
P31	Q49207	Q23002039
P161	Q1030713	Q983486
P1303	Q505898	Q5994
P1343	Q1538	Q2657718
P31	Q310170	Q5
P106	Q102551	Q10798782
P509	Q105460	Q744913
P1411	Q1048856	Q3045762
P31	Q315604	Q5
P641	Q311723	Q11420
P31	Q1782948	Q1620945
P106	Q193710	Q2252262
P106	Q299190	Q18814623
P69	Q104067	Q1093910
P1303	Q42402	Q6607
P101	Q187832	Q207628
P264	Q188713	Q2338889
P463	Q333886	Q5275906
P106	Q215905	Q121594
P725	Q8822	Q374220
P161	Q32450	Q256127
P31	Q6848167	Q5
P463	Q49206	Q1202548
P166	Q211566	Q1011547
P463	Q333886	Q19861084
P21	Q47664	Q6581072
P161	Q19570	Q255490
P166	Q4354624	Q1415017
P166_P1686	Q210059	Q4820684	Q2360806
P750	Q651722	Q1323594
P69	Q943028	Q7912214
P106	Q313545	Q10798782
P27	Q6722	Q151624
P106	Q312081	Q639669
P161	Q56194	Q941712
P106	Q206890	Q3282637
P412	Q188668	Q27914
P106	Q229560	Q3282637
P2293_P459_P459	Q12174	Q18042617	Q1098876	Q23190853
P509	Q72267	Q181754
P21	Q1387617	Q6581097
P1303	Q508412	Q17172850
P106	Q223875	Q15981151
P161	Q168708	Q1680304
P166	Q9570	Q30132541
P1411_P1686	Q103946	Q989439	Q56194
P31	Q180004	Q5
P2643	Q1017974	Q23335394
P69	Q95002	Q7141532
P2293_P459_P459	Q8277	Q18046775	Q1098876	Q23190853
P101	Q123885	Q7991
P166	Q30876	Q2167384
P69	Q336185	Q993267
P2643	Q1706859	Q23662734
P106	Q44176	Q10800557
P279	Q245068	Q483501
P106	Q963628	Q3282637
P166	Q193397	Q41254
P106	Q298777	Q10800557
P412	Q294531	Q31687
P106	Q364873	Q639669
P1344	Q726080	Q47735
P2293_P459_P459	Q11081	Q14864533	Q1098876	Q23190853
P69	Q273210	Q5244175
P106	Q312124	Q10800557
P106	Q308840	Q11338576
P2643	Q1068072	Q23662432
P106	Q607678	Q3282637
P2643	Q1179599	Q23336065
P106	Q189226	Q36834
P31	Q230184	Q5
P166	Q35064	Q14420
P106	Q95002	Q10798782
P31	Q2741776	Q5
P31	Q886	Q581714
P31	Q312053	Q5
P106	Q185610	Q3922505
P161	Q56194	Q598178
P170	Q23558	Q434272
P2293_P459_P459	Q187255	Q18039842	Q1098876	Q23190853
P21	Q93227	Q6581097
P166	Q705715	Q2110156
P509	Q80739	Q29496
P106	Q706165	Q10800557
P69	Q267097	Q52413
P166	Q234778	Q840286
P106	Q132616	Q2259451
P26	Q1319539	Q1566207
P31	Q127552	Q4830453
P106	Q183542	Q28389
P2643	Q194266	Q23662744
P463	Q741082	Q19861084
P31	Q329734	Q5
P463	Q1326975	Q647039
P21	Q8298	Q6581097
P31	Q193481	Q6881511
P69	Q1270283	Q1335573
P1346_P1686	Q266012	Q185714	Q837934
P2643	Q1138384	Q23622771
P5008	Q11633	Q5460604
P264	Q976882	Q4352944
P106	Q272972	Q2526255
P463	Q7604	Q123885
P31	Q309331	Q23002039
P1411_P1686	Q210059	Q255032	Q1168659
P2293_P459_P459	Q131755	Q5514181	Q1098876	Q23190853
P166	Q9570	Q1414577
P161_P453	Q194427	Q294372	Q629899
P106	Q503997	Q33999
P106	Q343983	Q4853732
P21	Q356383	Q6581097
P1411_P1686	Q286777	Q6952070	Q23614
P241	Q1370968	Q1049334
P1346_P1686	Q1268927	Q253513	Q1617727
P1884	Q178882	Q202466
P2643	Q1536258	Q23622828
P161	Q223887	Q469651
P106	Q127330	Q1930187
P1303	Q323467	Q6607
P106	Q520346	Q36834
P166	Q2085	Q7669624
P131	Q1517021	Q3206
P21	Q1277484	Q6581097
P31	Q312510	Q5
P106	Q180453	Q28389
P1303	Q137042	Q5994
P58	Q464252	Q286890
P31	Q1479869	Q5
P21	Q36184	Q6581097
P725	Q34397	Q447960
P1303	Q334288	Q17172850
P166	Q83459	Q3320370
P166	Q886	Q6363475
P106	Q460563	Q10800557
P1411	Q218091	Q4835491
P1411	Q3577037	Q7669614
P1343	Q180341	Q2657718
P725	Q703524	Q225654
P161	Q321423	Q22963890
P21	Q983043	Q6581097
P31	Q15880	Q5
P2293_P459_P459	Q12174	Q15322924	Q1098876	Q23190853
P1411	Q1030713	Q5243456
P21	Q3634256	Q6581097
P69	Q47426	Q7283638
P106	Q232520	Q13235160
P166	Q185610	Q921469
P106	Q382257	Q10800557
P106	Q360313	Q10800557
P161	Q4529	Q258793
P106	Q104081	Q4991371
P69	Q165283	Q49213
P166	Q238483	Q1131356
P106	Q4977147	Q1053574
P106	Q312405	Q18844224
P69	Q188792	Q7060402
P264	Q312053	Q1063242
P106	Q42402	Q12377274
P2643	Q194266	Q23336065
P21	Q55238	Q6581097
P161	Q23558	Q60640
P31	Q1268871	Q4830453
P31	Q71130	Q5
P166	Q104067	Q727328
P264	Q160009	Q27184
P31	Q9598	Q9174
P463	Q1473615	Q5059850
P361	Q11220	Q11211
P1411	Q3577037	Q13476486
P161	Q1345077	Q440910
P106	Q1056114	Q3282637
P412	Q133151	Q27914
P106	Q159778	Q2259451
P31	Q39037	Q581714
P106	Q492321	Q10800557
P106	Q354181	Q28389
P161	Q23558	Q1029535
P106	Q44442	Q28389
P166	Q40026	Q105447
P106	Q318509	Q1930187
P2936	Q1186	Q8761579
P31	Q276273	Q5
P463	Q666128	Q6822266
P31	Q266137	Q5
P2293_P459_P459	Q11081	Q18046433	Q1098876	Q23190853
P1303	Q531869	Q5994
P2293_P459_P459	Q12174	Q18032199	Q1098876	Q23190853
P1303	Q5105	Q17172850
P161	Q635632	Q2051128
P2643	Q168751	Q23662760
P166	Q318223	Q6053779
P31	Q187255	Q42303753
P106	Q163263	Q18581305
P106	Q23814	Q3455803
P1542	Q7212330	Q12152
P69	Q273210	Q895457
P21	Q3595438	Q6581097
P1303	Q312053	Q1444
P2643	Q49205	Q23662432
P161	Q223977	Q439554
P31	Q311179	Q5
P161	Q19570	Q311068
P463	Q1731	Q1768108
P1303	Q7241	Q17172850
P264	Q295817	Q18628
P31	Q175104	Q5
P735_P3831	Q1124	Q18245781	Q49614
P412	Q235952	Q37137
P463	Q2982991	Q647039
P800	Q194280	Q150820
P161	Q56194	Q382197
P463	Q1887879	Q5059850
P166_P1686	Q230378	Q5211230	Q463615
P166	Q275900	Q11605748
P31	Q12557	Q48349
P463	Q4493503	Q5275906
P106	Q515632	Q3282637
P106	Q516390	Q10800557
P106	Q228739	Q33999
P106	Q381799	Q10800557
P166	Q28591	Q928314
P166	Q713912	Q1415017
P161	Q23558	Q3121197
P106	Q634898	Q10798782
P1303	Q73437	Q46185
P509	Q264603	Q128581
P106	Q273210	Q1021386
P2293_P459_P459	Q11081	Q18030967	Q1098876	Q23190853
P161	Q155629	Q442309
P161	Q223977	Q263720
P106	Q597433	Q10800557
P106	Q355652	Q28389
P749	Q622668	Q825291
P31	Q6199	Q14934048
P31	Q312327	Q5
P800	Q349350	Q246283
P166	Q8743	Q1086458
P106	Q48765	Q2490358
P1346_P1686	Q1056251	Q220883	Q7748326
P161	Q223977	Q5523004
P264	Q1651279	Q202440
P106	Q189758	Q488205
P166	Q147235	Q7243501
P1346_P1686	Q1056265	Q503095	Q5706622
P166	Q253384	Q56085709
P170	Q194427	Q728217
P1411	Q1071958	Q2414873
P106	Q351055	Q131524
P166	Q311317	Q3857162
P2643	Q1474129	Q23662489
P31	Q352203	Q5
P106	Q497851	Q947873
P1340	Q298255	Q17122740
P31	Q234360	Q5
P106	Q184226	Q24265174
P106	Q229176	Q2259451
P264	Q348533	Q4413456
P750	Q203385	Q1156642
P106	Q983043	Q3282637
P2293_P459_P459	Q3025883	Q18041137	Q1098876	Q23190853
P69	Q1279660	Q738258
P509	Q383528	Q12136
P166	Q964815	Q2687578
P161	Q438406	Q2344900
P166	Q192682	Q857933
P106	Q180004	Q10800557
P106	Q131149	Q482980
P21	Q296883	Q6581097
P463	Q49114	Q5275906
P106	Q313039	Q2259451
P1303	Q127330	Q128309
P31	Q4682076	Q23002054
P2293_P459_P459	Q12174	Q18053460	Q1098876	Q23190853
P106	Q210741	Q245068
P463	Q15574	Q19861084
P166	Q312845	Q203535
P161	Q201379	Q313546
P166	Q55800	Q1967852
P1884	Q131380	Q202466
P161	Q498906	Q330762
P166	Q281034	Q947090
P106	Q202859	Q486748
P1303	Q15880	Q128309
P166	Q347461	Q987744
P106	Q104049	Q3387717
P106	Q237530	Q10798782
P1142	Q205739	Q6199
P106	Q465830	Q10800557
P161	Q23558	Q3532579
P106	Q366563	Q33999
P2643	Q579968	Q23662432
P166_P1686	Q311179	Q5894560	Q536299
P1411_P1686	Q102341	Q989447	Q1171033
P31	Q295817	Q5
P161	Q212156	Q431753
P166	Q127417	Q928314
P106	Q9353	Q82955
P161	Q56194	Q350459
P161	Q212156	Q262191
P264	Q182665	Q2265719
P463	Q93157	Q463281
P161	Q438406	Q1189095
P1066	Q152768	Q140619
P166	Q329744	Q1277463
P2643	Q955764	Q23623487
P5008	Q9391	Q5460604
P2643	Q1468607	Q23334993
P22	Q1373377	Q7368804
P1479	Q361	Q155144
P463	Q860527	Q6822266
P106	Q1388111	Q2259451
P31	Q155700	Q5
P3095	Q395	Q170790
P106	Q317161	Q36834
P106	Q193659	Q2259451
P31	Q84151	Q15936437
P1884	Q32522	Q2367101
P21	Q527853	Q6581097
P106	Q708506	Q10800557
P2293_P459_P459	Q35869	Q18048437	Q1098876	Q23190853
P106	Q720723	Q2259451
P106	Q540389	Q33999
P106	Q26695	Q486748
P800	Q8006	Q152105
P161	Q117396	Q3480189
P21	Q539955	Q6581097
P1343	Q167037	Q2657718
P2293_P459_P459	Q187255	Q14904803	Q1098876	Q23190853
P161	Q515621	Q351293
P463	Q49205	Q647039
P69	Q352730	Q6391891
P264	Q467519	Q1899781
P31	Q220140	Q5
P137	Q212252	Q950380
P2094	Q188228	Q35554451
P1853	Q40504	Q19831453
P106	Q316647	Q10800557
P106	Q336018	Q10800557
P725	Q16538	Q261865
P106	Q1551917	Q33999
P106	Q29055	Q3282637
P101	Q84233	Q8134
P26	Q312878	Q15635389
P1411_P1686	Q180453	Q19859744	Q1163515
P166	Q127417	Q852071
P106	Q235020	Q245068
P31	Q165313	Q21866939
P21	Q5525494	Q6581097
P161	Q117396	Q263670
P725	Q35951	Q193212
P106	Q14540	Q245068
P31	Q1323191	Q15839299
P509	Q180338	Q181754
P2293_P459_P459	Q12174	Q18030356	Q1098876	Q23190853
P2643	Q1592074	Q23623476
P166	Q313039	Q1131356
P161	Q352431	Q1865086
P166_P1686	Q2680	Q989439	Q471350
P166	Q13164	Q728960
P31	Q294927	Q5
P106	Q94041	Q948329
P463	Q83158	Q161806
P161	Q13979	Q2755894
P31	Q158861	Q5
P69	Q193397	Q248970
P106	Q3121114	Q3282637
P509	Q311655	Q202837
P2293_P459_P459	Q8277	Q14904874	Q1098876	Q23190853
P2643	Q1041671	Q23622825
P2293_P459_P459	Q1472	Q18053765	Q1098876	Q23190853
P31	Q321339	Q5
P106	Q313013	Q33999
P2293_P459_P459	Q206901	Q17833354	Q1098876	Q23190853
P106	Q3123705	Q2259451
P106	Q515274	Q482980
P101	Q258255	Q207628
P1346_P1686	Q2665878	Q208649	Q2473073
P2293_P459_P459	Q3025883	Q14912054	Q1098876	Q23190853
P106	Q234471	Q2259451
P1411	Q633	Q38447
P264	Q660545	Q202440
P2936	Q1193	Q7259044
P69	Q312789	Q1414326
P2293_P459_P459	Q187255	Q18026547	Q1098876	Q23190853
P69	Q484365	Q5146978
P69	Q1551917	Q849751
P279	Q1930187	Q482980
P31	Q168708	Q5398426
P2643	Q7535073	Q23662432
P166	Q461003	Q1044427
P1411	Q706513	Q6952053
P21	Q1479869	Q6581097
P106	Q215300	Q36834
P166	Q35648	Q52382875
P166	Q168721	Q1131356
P106	Q156796	Q33999
P161	Q23609	Q1388636
P106	Q8743	Q28389
P69	Q257065	Q190080
P4952	Q209727	Q51139288
P166	Q217573	Q1131356
P5008	Q7397	Q5460604
P1346_P1686	Q209459	Q51545	Q470375
P31	Q5679	Q5
P106	Q446427	Q10800557
P106	Q410	Q6625963
P1884	Q229477	Q202466
P106	Q1370968	Q40348
P161	Q804434	Q908941
P106	Q596698	Q488205
P5995	Q47762	Q483915
P69_P812_P512	Q4115622	Q536709	Q11635	Q163727
P161	Q8539	Q210200
P31	Q1339570	Q581714
P1343	Q843402	Q64167453
P21	Q10346114	Q6581097
P2643	Q1781094	Q23662476
P1346_P1686	Q2576795	Q234030	Q356107
P1303	Q551478	Q6607
P106	Q223303	Q10800557
P161	Q4529	Q943613
P264	Q40912	Q645889
P161	Q842073	Q352180
P2293_P459_P459	Q12174	Q18053142	Q1098876	Q23190853
P725	Q8822	Q231100
P264	Q193146	Q216364
P31	Q15574	Q875538
P2293_P459_P459	Q12174	Q18049956	Q1098876	Q23190853
P106	Q316596	Q2259451
P106	Q48410	Q1476215
P106	Q169982	Q40348
P451	Q194280	Q231744
P106	Q1806985	Q947873
P31	Q838121	Q618779
P2293_P459_P459	Q187255	Q18031939	Q1098876	Q23190853
P509	Q361670	Q12152
P106	Q313546	Q10798782
P106	Q545924	Q10800557
P161	Q23609	Q181799
P2643	Q1278206	Q23335394
P1340	Q125106	Q17122705
P161	Q147235	Q234514
P166	Q174311	Q136699
P166	Q16296	Q14420
P166	Q237805	Q489705
P2643	Q1026868	Q23663131
P161	Q168708	Q1364838
P161	Q117396	Q271635
P106	Q50020	Q82955
P2936	Q1191	Q3450469
P166	Q104146	Q12201477
P106	Q234514	Q10800557
P166	Q41163	Q159661
P3095	Q11633	Q33231
P21	Q256164	Q6581097
P161	Q438406	Q3952855
P106	Q1373024	Q19841381
P1346_P1686	Q1056265	Q234700	Q5451502
P1303	Q467519	Q6607
P31	Q729982	Q5
P106	Q312559	Q3282637
P161	Q23558	Q1087475
P106	Q546204	Q28389
P106	Q169906	Q36180
P106	Q162492	Q3282637
P69	Q350459	Q622664
P106	Q256164	Q2259451
P106	Q3090795	Q33999
P106	Q106418	Q4610556
P166_P1686	Q107130	Q4835526	Q485676
P69	Q981970	Q149990
P106	Q105941	Q5716684
P161	Q23609	Q232047
P2293_P459_P459	Q128581	Q14913892	Q1098876	Q23190853
P2293_P459_P459	Q12174	Q18046678	Q1098876	Q23190853
P1303	Q453406	Q46185
P106	Q43994	Q266569
P21	Q1778362	Q6581097
P734_P3831	Q133112	Q3943046	Q1376230
P31	Q732661	Q5
P166	Q230268	Q28470
P161	Q32450	Q16567288
P31	Q433513	Q5
P2643	Q2092392	Q23334891
P161	Q1248938	Q562069
P106	Q296328	Q10800557
P161	Q23558	Q1343857
P106	Q4992236	Q3282637
P31	Q181003	Q12140
P161	Q23558	Q52440
P241	Q169906	Q1076619
P1346_P1686	Q1419495	Q253308	Q1737875
P166	Q344793	Q105447
P106	Q37160	Q36180
P2643	Q178848	Q23662487
P161	Q2842976	Q94123
P161	Q8539	Q444480
P106	Q356541	Q578109
P463	Q1780816	Q5275906
P166	Q161819	Q1131356
P1343	Q29245	Q2657718
P166	Q160009	Q451842
P161	Q1030713	Q972789
P463	Q6722	Q463303
P166	Q150851	Q1801104
P1343	Q4700	Q2657718
P21	Q779151	Q6581097
P106	Q40791	Q3427922
P106	Q150943	Q948329
P1303	Q296872	Q6607
P264	Q103550	Q202440
P106	Q299208	Q15981151
P21	Q312712	Q6581097
P2293_P459_P459	Q12174	Q14916168	Q1098876	Q23190853
P1346_P1686	Q503034	Q357001	Q3337646
P69	Q156552	Q981195
P1889	Q41323	Q296260
P106	Q208590	Q10800557
P264	Q317784	Q216364
P161	Q147235	Q6382703
P21	Q2569995	Q6581097
P106	Q83396	Q82955
P161	Q4529	Q290091
P641	Q1452569	Q41323
P1303	Q449224	Q6607
P161	Q186219	Q973472
P31	Q7012169	Q9826
P161	Q912437	Q381203
P1050	Q1334295	Q12199
P106	Q455780	Q18844224
P1303	Q921204	Q6607
P106	Q1190693	Q2259451
P2643	Q1805085	Q23335394
P1303	Q712592	Q133163
P31	Q7742	Q5
P31	Q5902	Q5398426
P112	Q49126	Q13371
P21	Q267383	Q6581072
P106	Q47899	Q3501317
P166	Q410	Q19869310
P361	Q128047	Q333886
P161	Q438406	Q5488124
P106	Q26876	Q9648008
P106	Q449863	Q3282637
P106	Q240933	Q28389
P58	Q4101775	Q109232
P166_P1686	Q23301	Q128649	Q19355
P69	Q292399	Q7739610
P31	Q703524	Q1107
P106	Q281964	Q36834
P1303	Q201418	Q17172850
P21	Q312691	Q6581097
P106	Q460376	Q222344
P2293_P459_P459	Q35869	Q14878303	Q1098876	Q23190853
P31	Q662934	Q5
P106	Q179041	Q3282637
P161	Q19570	Q139341
P106	Q235302	Q10800557
P725	Q210311	Q4678957
P725	Q210311	Q312081
P166	Q269692	Q1415017
P1346_P1686	Q1268927	Q255070	Q970089
P106	Q1077635	Q245068
P166	Q39246	Q737051
P166	Q73089	Q1738793
P21	Q13938	Q6581072
P509	Q344793	Q181754
P166	Q190379	Q11415564
P2293_P459_P459	Q12174	Q17914024	Q1098876	Q23190853
P106	Q449531	Q10798782
P106	Q670296	Q3282637
P106	Q178552	Q10798782
P69	Q369174	Q7927029
P2643	Q1466001	Q23623483
P161	Q2842976	Q770841
P2643	Q1393301	Q23662490
P31	Q8418	Q349
P161	Q912437	Q309835
P161	Q244803	Q317516
P1346_P1686	Q255032	Q313185	Q3227984
P161	Q301345	Q607678
P166	Q3523130	Q3775029
P106	Q319693	Q28389
P1889	Q3427922	Q2145981
P106	Q1388111	Q10798782
P31	Q3884	Q6881511
P161	Q56194	Q1688147
P106	Q175142	Q4610556
P1411	Q193659	Q6500767
P106	Q4115716	Q33999
P106	Q220751	Q28389
